review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
strong_single_frame_candidate,1357674094-0052,N1357674094,1357674094,2001-01-08,T3757,1,316.82,479.90,203.84,5,0.15,,0.3625,2001-01-08T19:29:19.113,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357638093-0061,N1357638093,1357638093,2001-01-08,T0828,1,717.61,548.63,173.37,5,0.00,,0.3625,2001-01-08T09:29:18.363,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357667285-0006,N1357667285,1357667285,2001-01-08,T3458,1,164.95,31.31,287.36,4,0.00,,0.3375,2001-01-08T17:34:42.137,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357667794-0108,N1357667794,1357667794,2001-01-08,T3479,1,895.25,681.83,270.60,4,0.00,,0.3375,2001-01-08T17:44:19.157,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357685285-0055,N1357685285,1357685285,2001-01-08,T4944,1,906.18,154.87,255.45,4,0.15,,0.3375,2001-01-08T22:34:42.013,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357664584-0715,N1357664584,1357664584,2001-01-08,T3034,1,153.93,752.40,243.76,4,0.00,,0.3375,2001-01-08T16:49:41.156,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1358117118-0033,N1358117118,1358117118,2001-01-13,T1951,1,979.81,140.15,184.23,4,0.00,,0.3375,2001-01-13T22:32:24.014,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357673416-1543,N1357673416,1357673416,2001-01-08,T3690,1,158.93,814.90,178.46,4,0.15,,0.3375,2001-01-08T19:17:25.087,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357673585-0019,N1357673585,1357673585,2001-01-08,T3745,1,98.12,89.79,250.98,3,0.00,,0.3125,2001-01-08T19:19:42.094,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357685285-0071,N1357685285,1357685285,2001-01-08,T4947,1,587.04,220.95,205.82,3,0.00,,0.3125,2001-01-08T22:34:42.013,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357646584-0889,N1357646584,1357646584,2001-01-08,T1519,1,616.14,779.43,205.13,3,0.00,,0.3125,2001-01-08T11:49:41.281,"Bright and reviewable, but not temporally linked yet."
