review_rank,candidate_id,image_id,run_date,candidate_time,candidate_x,candidate_y,next_action,suggested_label,context_status,context_opus_id,context_time,context_filter,context_duration_seconds,delta_minutes,context_center_resolution_km_px
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989365,2000-12-31T21:17:45.304,MT2,1.5,16.72,59.27973
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989328,2000-12-31T21:17:08.933,CB2,1.2,17.33,59.27939
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989295,2000-12-31T21:16:36.364,BL1,0.46,17.87,59.27908
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976693,2000-12-31T17:46:31.700,MT3,3.2,4.35,118.33433
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976653,2000-12-31T17:45:53.392,MT2,1.5,4.99,59.16683
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976616,2000-12-31T17:45:17.001,CB2,1.2,5.60,59.16653
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976579,2000-12-31T17:44:40.513,BL1,0.38,6.21,59.16622
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976363,2000-12-31T17:41:02.302,MT3,2.6,9.84,118.32878
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976323,2000-12-31T17:40:23.395,MT2,1.5,10.49,59.16406
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976286,2000-12-31T17:39:47.008,CB2,1,11.10,59.16375
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356976249,2000-12-31T17:39:10.515,BL1,0.38,11.71,59.16344
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356975989,2000-12-31T17:34:47.705,MT3,3.2,16.09,118.32251
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356975949,2000-12-31T17:34:09.397,MT2,1.5,16.72,59.16093
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356975912,2000-12-31T17:33:33.030,CB2,1.2,17.33,59.16062
8,1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356975879,2000-12-31T17:33:00.457,BL1,0.46,17.87,59.16034
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990109,2000-12-31T21:30:07.607,MT3,3.2,4.35,118.57338
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990069,2000-12-31T21:29:29.300,MT2,1.5,4.99,59.28632
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990032,2000-12-31T21:28:52.904,CB2,1.2,5.60,59.28598
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989995,2000-12-31T21:28:16.420,BL1,0.38,6.21,59.28563
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989779,2000-12-31T21:24:38.209,MT3,2.6,9.84,118.56719
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989739,2000-12-31T21:23:59.302,MT2,1.5,10.49,59.28322
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989702,2000-12-31T21:23:22.915,CB2,1,11.10,59.28288
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989665,2000-12-31T21:22:46.422,BL1,0.38,11.71,59.28254
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989405,2000-12-31T21:18:23.612,MT3,3.2,16.09,118.56018
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989365,2000-12-31T21:17:45.304,MT2,1.5,16.72,59.27973
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989328,2000-12-31T21:17:08.933,CB2,1.2,17.33,59.27939
9,1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989295,2000-12-31T21:16:36.364,BL1,0.46,17.87,59.27908
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985637,2000-12-31T20:15:35.638,MT3,3.2,4.35,118.4908
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985597,2000-12-31T20:14:57.331,MT2,1.5,4.99,59.24504
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985193,2000-12-31T20:08:14.453,BL1,0.38,11.71,59.24139
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984933,2000-12-31T20:03:51.643,MT3,3.2,16.09,118.47806
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984893,2000-12-31T20:03:13.335,MT2,1.5,16.72,59.23868
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984856,2000-12-31T20:02:36.968,CB2,1.2,17.33,59.23835
10,1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984823,2000-12-31T20:02:04.395,BL1,0.46,17.87,59.23805
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985637,2000-12-31T20:15:35.638,MT3,3.2,4.35,118.4908
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985597,2000-12-31T20:14:57.331,MT2,1.5,4.99,59.24504
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985193,2000-12-31T20:08:14.453,BL1,0.38,11.71,59.24139
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984933,2000-12-31T20:03:51.643,MT3,3.2,16.09,118.47806
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984893,2000-12-31T20:03:13.335,MT2,1.5,16.72,59.23868
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984856,2000-12-31T20:02:36.968,CB2,1.2,17.33,59.23835
11,1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984823,2000-12-31T20:02:04.395,BL1,0.46,17.87,59.23805
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985637,2000-12-31T20:15:35.638,MT3,3.2,4.35,118.4908
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985597,2000-12-31T20:14:57.331,MT2,1.5,4.99,59.24504
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985193,2000-12-31T20:08:14.453,BL1,0.38,11.71,59.24139
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984933,2000-12-31T20:03:51.643,MT3,3.2,16.09,118.47806
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984893,2000-12-31T20:03:13.335,MT2,1.5,16.72,59.23868
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984856,2000-12-31T20:02:36.968,CB2,1.2,17.33,59.23835
12,1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356984823,2000-12-31T20:02:04.395,BL1,0.46,17.87,59.23805
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990109,2000-12-31T21:30:07.607,MT3,3.2,4.35,118.57338
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990069,2000-12-31T21:29:29.300,MT2,1.5,4.99,59.28632
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990032,2000-12-31T21:28:52.904,CB2,1.2,5.60,59.28598
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989995,2000-12-31T21:28:16.420,BL1,0.38,6.21,59.28563
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989779,2000-12-31T21:24:38.209,MT3,2.6,9.84,118.56719
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989739,2000-12-31T21:23:59.302,MT2,1.5,10.49,59.28322
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989702,2000-12-31T21:23:22.915,CB2,1,11.10,59.28288
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989665,2000-12-31T21:22:46.422,BL1,0.38,11.71,59.28254
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989405,2000-12-31T21:18:23.612,MT3,3.2,16.09,118.56018
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989365,2000-12-31T21:17:45.304,MT2,1.5,16.72,59.27973
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989328,2000-12-31T21:17:08.933,CB2,1.2,17.33,59.27939
13,1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989295,2000-12-31T21:16:36.364,BL1,0.46,17.87,59.27908
14,1356985927-0123,N1356985927,2000-12-31,2000-12-31T20:19:56.828,515.70,403.81,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985637,2000-12-31T20:15:35.638,MT3,3.2,4.35,118.4908
14,1356985927-0123,N1356985927,2000-12-31,2000-12-31T20:19:56.828,515.70,403.81,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356985597,2000-12-31T20:14:57.331,MT2,1.5,4.99,59.24504
