run_date,track_id,frame_count,first_frame_index,last_frame_index,first_image_id,last_image_id,start_time,end_time,start_x,start_y,end_x,end_y,net_dx_px,net_dy_px,median_x,median_y,median_peak_snr,mean_step_px,step_cv,motion_consistency,candidate_score,reason,candidate_ids
2000-12-31,T0045,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,360.36,66.39,344.28,24.90,-16.08,-41.49,352.32,45.64,79.08,44.50,0.000,1.000,0.6000,"2 frame(s); median area 6.5 px; net motion dx=-16.1, dy=-41.5; flags: none",1356977373-0016|1356977733-0089
2000-12-31,T0014,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,638.00,286.67,705.48,255.48,67.48,-31.19,638.00,282.79,27.18,40.35,0.876,0.124,0.5934,"3 frame(s); median area 6.0 px; net motion dx=67.5, dy=-31.2; flags: none",1356976983-0092|1356977373-0086|1356977733-0158
2000-12-31,T0121,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,112.93,120.24,164.96,111.39,52.03,-8.85,112.93,117.01,39.69,37.12,0.698,0.302,0.5881,"3 frame(s); median area 4.0 px; net motion dx=52.0, dy=-8.8; flags: none",1356981455-0037|1356981845-0031|1356982205-0108
2000-12-31,T0008,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,212.19,219.23,255.58,242.84,43.39,23.61,233.88,231.03,40.43,49.40,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=43.4, dy=23.6; flags: none",1356976983-0069|1356977373-0077
2000-12-31,T0017,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,364.32,425.44,416.72,368.00,52.40,-57.44,390.52,396.72,53.92,77.75,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=52.4, dy=-57.4; flags: none",1356976983-0138|1356977373-0114
2000-12-31,T0046,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,383.27,117.73,358.25,51.55,-25.02,-66.18,370.76,84.64,46.78,70.75,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=-25.0, dy=-66.2; flags: none",1356977373-0034|1356977733-0100
2000-12-31,T0348,2,9,10,N1356990399,N1356990789,2000-12-31T21:34:28.797,2000-12-31T21:40:58.795,43.28,528.20,118.76,499.33,75.48,-28.87,81.02,513.76,30.87,80.81,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=75.5, dy=-28.9; flags: none",1356990399-0157|1356990789-0178
2000-12-31,T0378,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,309.42,534.59,385.19,526.64,75.77,-7.95,347.31,530.62,51.90,76.19,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=75.8, dy=-8.0; flags: none",1356990789-0192|1356991149-0313
2000-12-31,T0384,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,55.31,842.46,134.48,821.43,79.17,-21.03,94.89,831.94,41.30,81.92,0.000,1.000,0.5875,"2 frame(s); median area 6.0 px; net motion dx=79.2, dy=-21.0; flags: none",1356990789-0325|1356991149-0437
2000-12-31,T0273,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,435.43,841.36,529.76,832.54,94.33,-8.82,453.26,841.36,22.51,51.82,0.548,0.452,0.5857,"3 frame(s); median area 3.0 px; net motion dx=94.3, dy=-8.8; flags: none",1356985927-0370|1356986317-0328|1356986677-0382
2000-12-31,T0023,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,782.36,581.38,796.14,570.96,13.78,-10.42,789.25,576.17,44.05,17.28,0.000,1.000,0.5750,"2 frame(s); median area 5.5 px; net motion dx=13.8, dy=-10.4; flags: none",1356976983-0189|1356977373-0195
2000-12-31,T0133,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,809.84,381.54,775.63,381.19,-34.21,-0.35,792.74,381.37,45.75,34.21,0.000,1.000,0.5750,"2 frame(s); median area 5.5 px; net motion dx=-34.2, dy=-0.3; flags: none",1356981455-0127|1356981845-0106
2000-12-31,T0238,2,6,7,N1356985927,N1356986317,2000-12-31T20:19:56.828,2000-12-31T20:26:26.826,391.26,547.45,442.74,512.35,51.48,-35.10,417.00,529.90,72.88,62.31,0.000,1.000,0.5750,"2 frame(s); median area 5.5 px; net motion dx=51.5, dy=-35.1; flags: none",1356985927-0179|1356986317-0186
2000-12-31,T0355,2,9,10,N1356990399,N1356990789,2000-12-31T21:34:28.797,2000-12-31T21:40:58.795,405.60,729.57,420.75,661.12,15.15,-68.45,413.18,695.35,37.91,70.11,0.000,1.000,0.5750,"2 frame(s); median area 5.5 px; net motion dx=15.1, dy=-68.4; flags: none",1356990399-0220|1356990789-0260
2000-12-31,T0387,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,780.47,935.22,753.35,935.80,-27.12,0.58,766.91,935.51,40.98,27.13,0.000,1.000,0.5750,"2 frame(s); median area 5.5 px; net motion dx=-27.1, dy=0.6; flags: none",1356990789-0417|1356991149-0498
2000-12-31,T0333,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,757.67,208.41,818.62,266.66,60.95,58.25,757.67,214.56,41.20,44.12,0.853,0.147,0.5743,"3 frame(s); median area 5.0 px; net motion dx=61.0, dy=58.2; flags: none",1356990399-0049|1356990789-0067|1356991149-0189
2000-12-31,T0021,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,343.03,553.36,400.82,595.50,57.79,42.14,343.03,564.70,22.57,39.90,0.706,0.294,0.5714,"3 frame(s); median area 4.0 px; net motion dx=57.8, dy=42.1; flags: none",1356976983-0182|1356977373-0191|1356977733-0283
2000-12-31,T0003,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,36.03,121.41,11.81,60.47,-24.22,-60.94,23.92,90.94,78.56,65.58,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=-24.2, dy=-60.9; flags: none",1356976983-0032|1356977373-0011
2000-12-31,T0020,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,157.48,521.09,131.28,488.41,-26.20,-32.68,144.38,504.75,28.11,41.89,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=-26.2, dy=-32.7; flags: none",1356976983-0172|1356977373-0158
2000-12-31,T0056,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,861.11,598.16,848.83,631.70,-12.28,33.54,854.97,614.93,31.92,35.72,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=-12.3, dy=33.5; flags: none",1356977373-0210|1356977733-0305
2000-12-31,T0141,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,324.22,511.25,273.62,470.36,-50.60,-40.89,298.92,490.81,35.67,65.06,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=-50.6, dy=-40.9; flags: none",1356981455-0182|1356981845-0140
2000-12-31,T0152,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,552.42,764.48,575.61,776.64,23.19,12.16,564.01,770.56,46.83,26.18,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=23.2, dy=12.2; flags: none",1356981455-0267|1356981845-0252
2000-12-31,T0168,2,4,5,N1356981845,N1356982205,2000-12-31T19:11:54.857,2000-12-31T19:17:54.854,211.39,305.77,235.62,234.88,24.23,-70.89,223.50,270.32,46.83,74.92,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=24.2, dy=-70.9; flags: none",1356981845-0082|1356982205-0159
2000-12-31,T0298,2,7,8,N1356986317,N1356986677,2000-12-31T20:26:26.826,2000-12-31T20:32:26.823,935.22,920.43,938.96,927.26,3.74,6.83,937.09,923.85,35.45,7.79,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=3.7, dy=6.8; flags: none",1356986317-0381|1356986677-0422
2000-12-31,T0370,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,800.11,104.30,755.29,147.81,-44.82,43.51,777.70,126.06,45.03,62.47,0.000,1.000,0.5625,"2 frame(s); median area 5.0 px; net motion dx=-44.8, dy=43.5; flags: none",1356990789-0033|1356991149-0149
2000-12-31,T0286,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,800.68,929.31,858.31,899.51,57.63,-29.80,858.31,923.42,9.47,41.90,0.428,0.572,0.5624,"3 frame(s); median area 4.0 px; net motion dx=57.6, dy=-29.8; flags: none",1356985927-0476|1356986317-0384|1356986677-0410
2000-12-31,T0150,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,320.91,728.51,288.77,770.77,-32.14,42.26,304.84,749.64,21.59,53.09,0.000,1.000,0.5545,"2 frame(s); median area 5.5 px; net motion dx=-32.1, dy=42.3; flags: none",1356981455-0258|1356981845-0249
2000-12-31,T0055,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,658.53,491.85,675.64,423.62,17.11,-68.23,667.09,457.74,48.98,70.34,0.000,1.000,0.5500,"2 frame(s); median area 4.5 px; net motion dx=17.1, dy=-68.2; flags: none",1356977373-0162|1356977733-0218
2000-12-31,T0064,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,452.83,926.14,399.71,935.45,-53.12,9.31,426.27,930.80,55.23,53.93,0.000,1.000,0.5500,"2 frame(s); median area 4.5 px; net motion dx=-53.1, dy=9.3; flags: none",1356977373-0338|1356977733-0427
2000-12-31,T0126,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,182.58,242.82,146.32,290.08,-36.26,47.26,164.45,266.45,72.01,59.57,0.000,1.000,0.5500,"2 frame(s); median area 4.5 px; net motion dx=-36.3, dy=47.3; flags: none",1356981455-0082|1356981845-0080
2000-12-31,T0230,2,6,7,N1356985927,N1356986317,2000-12-31T20:19:56.828,2000-12-31T20:26:26.826,697.33,430.74,722.68,379.23,25.35,-51.51,710.00,404.99,47.36,57.41,0.000,1.000,0.5500,"2 frame(s); median area 4.5 px; net motion dx=25.3, dy=-51.5; flags: none",1356985927-0135|1356986317-0133
