run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-13,T1091,3,N1358105418,N1358106096,10.00,29.78,0.892,0.6954,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358105418-1935|1358105587-1186|1358106096-1351
2000-12-31,T0131,3,N1356981455,N1356982205,14.01,70.15,0.994,0.6950,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1356981455-0109|1356981845-0086|1356982205-0163
2000-12-31,T0211,3,N1356985927,N1356986677,13.99,77.32,0.981,0.6917,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1356985927-0012|1356986317-0004|1356986677-0014
2001-01-01,T0761,3,N1357041843,N1357042593,16.84,52.62,0.912,0.6915,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357041843-0217|1357042233-0227|1357042593-0296
2001-01-08,T4848,3,N1357685116,N1357685794,11.19,16.79,0.846,0.6911,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357685116-0853|1357685285-0793|1357685794-0224
2001-01-08,T4825,3,N1357685116,N1357685794,11.23,10.20,0.942,0.6904,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357685116-0577|1357685285-0542|1357685794-0152
2001-01-13,T1664,3,N1358114418,N1358115096,10.27,40.93,0.963,0.6899,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-1139|1358114587-0740|1358115096-0346
2001-01-13,T1685,3,N1358114418,N1358115096,10.10,58.84,0.865,0.6893,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-1651|1358114587-1073|1358115096-0561
2001-01-01,T0424,3,N1357028427,N1357029177,24.57,38.23,0.814,0.6885,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357028427-0020|1357028817-0021|1357029177-0093
2000-12-31,T0271,3,N1356985927,N1356986677,14.54,26.99,0.847,0.6866,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1356985927-0354|1356986317-0307|1356986677-0359
2001-01-13,T1671,3,N1358114418,N1358115096,11.71,42.05,0.914,0.6862,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-1264|1358114587-0836|1358115096-0384
2001-01-08,T4031,3,N1357676116,N1357676794,10.88,25.26,0.832,0.6858,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357676116-0480|1357676285-0378|1357676794-0194
2001-01-13,T1625,3,N1358114418,N1358115096,10.40,54.86,0.836,0.6839,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-0422|1358114587-0461|1358115096-0394
2001-01-13,T1609,3,N1358114418,N1358115096,11.40,24.51,0.910,0.6834,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-0240|1358114587-0226|1358115096-0106
2001-01-13,T1108,3,N1358105418,N1358106096,10.36,48.20,0.935,0.6834,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358105418-2694|1358105587-1419|1358106096-1769
2001-01-05,T0227,3,N1357365030,N1357365780,12.95,61.66,0.971,0.6829,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357365030-0060|1357365420-0099|1357365780-0121
2000-12-31,T0222,3,N1356985927,N1356986677,32.91,40.62,0.779,0.6822,strong_temporal_review,appears in 3+ frames; moderate step consistency; high SNR,1356985927-0074|1356986317-0098|1356986677-0158
2000-12-31,T0220,3,N1356985927,N1356986677,32.73,38.20,0.776,0.6815,strong_temporal_review,appears in 3+ frames; moderate step consistency; high SNR,1356985927-0055|1356986317-0070|1356986677-0132
2001-01-13,T1096,3,N1358105418,N1358106096,10.50,45.40,0.924,0.6814,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358105418-2389|1358105587-1295|1358106096-1365
2001-01-01,T0365,3,N1357023955,N1357024705,10.11,53.61,0.833,0.6814,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357023955-0348|1357024345-0306|1357024705-0371
