candidate_id,image_id,run_date,review_batch,x,y,geometry_readiness,subobserver_lon_w,subsolar_lon_w,center_resolution_km_px,latitude_bounds,longitude_w_bounds,required_method,next_step
1358117118-0135,N1358117118,2001-01-13,05_low_priority_hold,402.00,601.00,image_bounds_only,321.715,78.24,101.15423,-84.29..-11.907,349.066..56.509,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357658115-0139,N1357658115,2001-01-08,05_low_priority_hold,402.00,601.00,image_bounds_only,30.712,134.114,78.67649,-85.202..-20.988,45.369..123.149,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667116-0147,N1357667116,2001-01-08,05_low_priority_hold,402.00,601.00,image_bounds_only,121.062,224.793,79.07074,16.773..84.438,118.201..196.696,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357649115-0135,N1357649115,2001-01-08,05_low_priority_hold,402.00,601.00,image_bounds_only,300.376,43.445,78.28468,-84.438..-21.088,314.709..35.917,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357676116-0127,N1357676116,2001-01-08,05_low_priority_hold,402.00,601.00,image_bounds_only,211.406,315.461,79.4673,17.425..85.21,203.886..279.535,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357676285-0213,N1357676285,2001-01-08,05_low_priority_hold,731.00,735.00,image_bounds_only,212.941,317.003,79.47407,17.119..83.478,210.06..284.098,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357676116-0023,N1357676116,2001-01-08,05_low_priority_hold,133.00,117.00,image_bounds_only,211.406,315.461,79.4673,17.425..85.21,203.886..279.535,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358063287-0081,N1358063287,2001-01-13,05_low_priority_hold,399.00,299.00,image_bounds_only,140.458,255.771,98.31792,6.866..85.778,136.4..220.607,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667285-0194,N1357667285,2001-01-08,05_low_priority_hold,731.00,735.00,image_bounds_only,122.598,226.334,79.07746,17.212..85.95,102.686..198.753,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1356977373-0211,N1356977373,2000-12-31,05_low_priority_hold,402.00,601.00,frame_context_only,48.381,116.231,59.17279,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
