image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1358101818,T0936,1358101818-0401,0.4401,2,9,co-iss-n1358101818,1358101818,2001-01-13T18:17:24.120,688.61,599.69,9.43,3,0.00,3,9.43,8.12,24.35,1.16,1.73,,"2 frame(s); median area 3.0 px; net motion dx=57.2, dy=-47.1; flags: none"
N1358101987,T0936,1358101987-0330,0.4401,2,10,co-iss-n1358101987,1358101987,2001-01-13T18:19:41.127,745.79,552.60,16.44,3,0.00,3,16.44,13.81,41.44,1.19,1.73,,"2 frame(s); median area 3.0 px; net motion dx=57.2, dy=-47.1; flags: none"
N1358105418,T1045,1358105418-0718,0.4400,3,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,826.69,826.03,8.01,3,0.00,3,8.01,7.45,22.34,1.08,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-54.4, dy=8.3; flags: none"
N1358105587,T1045,1358105587-0609,0.4400,3,12,co-iss-n1358105587,1358105587,2001-01-13T19:19:41.102,831.14,820.64,10.94,3,0.00,3,10.94,9.36,28.07,1.17,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-54.4, dy=8.3; flags: none"
N1358106096,T1045,1358106096-0714,0.4400,3,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,772.33,834.32,8.44,3,0.00,3,8.44,8.08,24.24,1.04,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-54.4, dy=8.3; flags: none"
N1358114418,T1710,1358114418-2704,0.4398,2,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,84.80,994.20,8.82,5,0.00,5,8.82,8.82,44.12,1.00,1.34,,"2 frame(s); median area 4.0 px; net motion dx=-29.8, dy=-74.5; flags: none"
N1358115096,T1710,1358115096-2121,0.4398,2,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,54.98,919.67,8.61,3,0.00,3,8.61,8.26,24.79,1.04,4.39,,"2 frame(s); median area 4.0 px; net motion dx=-29.8, dy=-74.5; flags: none"
N1358069418,T0684,1358069418-0249,0.4397,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,634.31,742.70,11.60,3,0.00,3,11.60,9.72,29.15,1.19,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-6.7, dy=-7.7; flags: none"
N1358069587,T0684,1358069587-0270,0.4397,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,627.58,735.00,9.96,4,0.00,4,9.96,8.57,34.28,1.16,2.45,,"2 frame(s); median area 3.5 px; net motion dx=-6.7, dy=-7.7; flags: none"
N1358105418,T1018,1358105418-0342,0.4396,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,578.32,774.99,8.46,3,0.00,3,8.46,8.22,24.66,1.03,1.73,,"2 frame(s); median area 3.5 px; net motion dx=9.3, dy=-31.8; flags: none"
N1358106096,T1018,1358106096-0132,0.4396,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,587.62,743.19,13.07,4,0.00,4,13.07,10.23,40.91,1.28,4.47,,"2 frame(s); median area 3.5 px; net motion dx=9.3, dy=-31.8; flags: none"
N1358069418,T0762,1358069418-1978,0.4396,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,645.31,915.67,8.06,3,0.00,3,8.06,7.56,22.69,1.07,1.73,,"2 frame(s); median area 4.0 px; net motion dx=-4.0, dy=9.9; flags: none"
N1358069587,T0762,1358069587-1419,0.4396,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,641.36,925.55,9.29,5,0.00,5,9.29,8.50,42.52,1.09,2.54,,"2 frame(s); median area 4.0 px; net motion dx=-4.0, dy=9.9; flags: none"
N1358063118,T0452,1358063118-0261,0.4392,2,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,562.46,932.73,11.07,4,0.00,4,11.07,8.77,35.10,1.26,4.47,,"2 frame(s); median area 3.5 px; net motion dx=2.6, dy=-5.4; flags: none"
N1358063796,T0452,1358063796-0124,0.4392,2,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,565.01,927.34,10.33,3,0.00,3,10.33,10.17,30.51,1.02,4.39,,"2 frame(s); median area 3.5 px; net motion dx=2.6, dy=-5.4; flags: none"
N1358105418,T1063,1358105418-1069,0.4390,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,729.28,854.88,10.50,3,0.00,3,10.50,8.36,25.09,1.26,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-48.5, dy=-52.9; flags: none"
N1358106096,T1063,1358106096-0394,0.4390,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,680.79,802.03,10.83,4,0.00,4,10.83,9.34,37.34,1.16,3.60,,"2 frame(s); median area 3.5 px; net motion dx=-48.5, dy=-52.9; flags: none"
N1358108118,T1394,1358108118-0229,0.4389,2,14,co-iss-n1358108118,1358108118,2001-01-13T20:02:24.077,572.61,923.69,9.74,3,0.00,3,9.74,8.29,24.86,1.18,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-3.1, dy=-15.9; flags: none"
N1358108287,T1394,1358108287-0278,0.4389,2,15,co-iss-n1358108287,1358108287,2001-01-13T20:04:41.083,569.49,907.83,11.56,4,0.00,4,11.56,9.21,36.84,1.26,1.82,,"2 frame(s); median area 3.5 px; net motion dx=-3.1, dy=-15.9; flags: none"
N1358069418,T0787,1358069418-2997,0.4384,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,739.29,1012.59,10.27,4,0.00,4,10.27,8.62,34.47,1.19,1.82,,"2 frame(s); median area 3.5 px; net motion dx=-45.0, dy=-7.5; flags: none"
N1358069587,T0787,1358069587-1699,0.4384,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,694.27,1005.08,10.86,3,0.00,3,10.86,9.57,28.70,1.13,4.39,,"2 frame(s); median area 3.5 px; net motion dx=-45.0, dy=-7.5; flags: none"
N1358061096,T0008,1358061096-0043,0.4375,1,0,co-iss-n1358061096,1358061096,2001-01-13T06:59:18.433,844.16,399.27,40.35,13,0.00,13,40.35,16.95,220.29,2.38,3.01,,1 frame(s); median area 13.0 px; flags: none
N1358063796,T0537,1358063796-0108,0.4375,1,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,1003.03,773.01,74.14,8,0.00,8,74.14,30.98,247.83,2.39,3.67,,1 frame(s); median area 8.0 px; flags: none
N1358099796,T0806,1358099796-0002,0.4375,1,8,co-iss-n1358099796,1358099796,2001-01-13T17:44:18.165,183.18,34.08,126.82,11,0.00,11,126.82,49.78,547.53,2.55,3.57,,1 frame(s); median area 11.0 px; flags: none
N1358099796,T0812,1358099796-0082,0.4375,1,8,co-iss-n1358099796,1358099796,2001-01-13T17:44:18.165,837.34,546.91,51.39,23,0.00,23,51.39,22.44,516.12,2.29,1.75,,1 frame(s); median area 23.0 px; flags: none
N1358099796,T0814,1358099796-0108,0.4375,1,8,co-iss-n1358099796,1358099796,2001-01-13T17:44:18.165,812.74,818.98,371.83,10,0.15,10,371.83,103.76,1037.61,3.58,2.80,,1 frame(s); median area 10.0 px; flags: none
N1358099796,T0881,1358099796-0482,0.4375,1,8,co-iss-n1358099796,1358099796,2001-01-13T17:44:18.165,1011.80,1020.27,28.86,30,0.00,30,28.86,15.22,456.73,1.90,3.93,,1 frame(s); median area 30.0 px; flags: none
N1358105418,T1082,1358105418-1483,0.4375,1,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,28.87,888.11,363.68,17,0.00,17,363.68,176.89,3007.16,2.06,2.86,,1 frame(s); median area 17.0 px; flags: none
N1358108287,T1459,1358108287-0151,0.4375,1,15,co-iss-n1358108287,1358108287,2001-01-13T20:04:41.083,726.46,502.30,138.62,9,0.15,9,138.62,41.50,373.51,3.34,2.71,,1 frame(s); median area 9.0 px; flags: none
N1358108287,T1460,1358108287-0152,0.4375,1,15,co-iss-n1358108287,1358108287,2001-01-13T20:04:41.083,880.21,504.14,84.83,9,0.00,9,84.83,30.47,274.26,2.78,3.45,,1 frame(s); median area 9.0 px; flags: none
N1358114587,T1725,1358114587-0079,0.4375,1,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,259.57,429.91,229.84,9,0.15,9,229.84,65.55,589.97,3.51,1.96,,1 frame(s); median area 9.0 px; flags: none
N1358117118,T1968,1358117118-0187,0.4375,1,22,co-iss-n1358117118,1358117118,2001-01-13T22:32:24.014,179.18,811.73,31.23,8,0.15,8,31.23,18.21,145.67,1.72,6.56,,1 frame(s); median area 8.0 px; flags: none
N1358117796,T2049,1358117796-0306,0.4375,1,24,co-iss-n1358117796,1358117796,2001-01-13T22:44:18.041,23.96,1017.90,42.61,108,0.00,108,42.61,18.91,2042.09,2.25,2.77,,1 frame(s); median area 108.0 px; flags: none
N1358063118,T0446,1358063118-0234,0.4375,2,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,571.64,917.26,13.58,3,0.00,3,13.58,11.75,35.24,1.16,1.73,,"2 frame(s); median area 3.0 px; net motion dx=-10.7, dy=-12.6; flags: none"
N1358063287,T0446,1358063287-0286,0.4375,2,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,560.94,904.70,11.40,3,0.00,3,11.40,9.99,29.97,1.14,1.73,,"2 frame(s); median area 3.0 px; net motion dx=-10.7, dy=-12.6; flags: none"
N1358065818,T0597,1358065818-0505,0.4368,2,4,co-iss-n1358065818,1358065818,2001-01-13T08:17:24.370,119.72,787.15,11.32,3,0.00,3,11.32,8.65,25.94,1.31,4.39,,"2 frame(s); median area 3.5 px; net motion dx=-21.5, dy=-13.4; flags: none"
N1358065987,T0597,1358065987-0572,0.4368,2,5,co-iss-n1358065987,1358065987,2001-01-13T08:19:41.376,98.26,773.77,9.28,4,0.00,4,9.28,8.09,32.37,1.15,2.45,,"2 frame(s); median area 3.5 px; net motion dx=-21.5, dy=-13.4; flags: none"
N1358105418,T1085,1358105418-1624,0.4362,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,723.25,896.02,9.88,4,0.00,4,9.88,8.96,35.83,1.10,1.62,,"2 frame(s); median area 3.5 px; net motion dx=-43.2, dy=-72.7; flags: none"
N1358106096,T1085,1358106096-0581,0.4362,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,680.02,823.32,10.54,3,0.00,3,10.54,9.99,29.97,1.05,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-43.2, dy=-72.7; flags: none"
N1358105418,T1060,1358105418-1010,0.4362,3,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,614.15,850.77,11.80,6,0.00,6,11.80,9.31,55.85,1.27,1.96,,"3 frame(s); median area 4.0 px; net motion dx=15.8, dy=-73.0; flags: none"
